Date,Open,High,Low,Close,Volume
4/27/2016,7.7548,7.7588,7.7548,7.7559,0
4/26/2016,7.755,7.7573,7.7548,7.7553,0
4/25/2016,7.7561,7.7586,7.755,7.7559,0
4/22/2016,7.7572,7.7585,7.7551,7.7567,0
4/21/2016,7.7549,7.7584,7.7547,7.7577,0
4/20/2016,7.7543,7.7581,7.7542,7.7554,0
4/19/2016,7.7544,7.7564,7.7541,7.7548,0
4/18/2016,7.7549,7.7569,7.754,7.7551,0
4/15/2016,7.7558,7.7585,7.754,7.7557,0
4/14/2016,7.7554,7.7584,7.755,7.7566,0
4/13/2016,7.7542,7.7575,7.7538,7.7562,0
4/12/2016,7.754,7.7569,7.7535,7.7544,0
4/11/2016,7.7577,7.7592,7.7528,7.7546,0
4/8/2016,7.7606,7.7613,7.7555,7.7583,0
4/7/2016,7.7563,7.762,7.7548,7.7613,0
4/6/2016,7.7561,7.7582,7.7549,7.7566,0
4/5/2016,7.7544,7.7577,7.7529,7.7565,0
4/4/2016,7.7559,7.7561,7.7531,7.7546,0
4/1/2016,7.7568,7.7579,7.7531,7.754,0
3/31/2016,7.7527,7.7583,7.7527,7.7572,0
3/30/2016,7.755,7.7571,7.7525,7.7535,0
3/29/2016,7.7567,7.7588,7.7548,7.7555,0
3/28/2016,7.757,7.7597,7.7564,7.7575,0
3/25/2016,7.7583,7.7617,7.7565,7.7577,0
3/24/2016,7.7538,7.7651,7.7536,7.7585,0
3/23/2016,7.7526,7.7584,7.7526,7.7545,0
3/22/2016,7.7521,7.755,7.7521,7.7532,0
3/21/2016,7.7554,7.7567,7.752,7.7527,0
3/18/2016,7.7545,7.7595,7.7527,7.7564,0
3/17/2016,7.7577,7.7607,7.7539,7.755,0
3/16/2016,7.7604,7.7654,7.7575,7.7582,0
3/15/2016,7.7583,7.7629,7.7575,7.7611,0
3/14/2016,7.7594,7.7619,7.7565,7.759,0
3/11/2016,7.762,7.7654,7.7573,7.7594,0
3/10/2016,7.7656,7.7669,7.7617,7.7625,0
3/9/2016,7.7657,7.768,7.7633,7.7664,0
3/8/2016,7.7632,7.7689,7.7632,7.7649,0
3/7/2016,7.7638,7.7702,7.7616,7.7639,0
3/4/2016,7.7676,7.7713,7.7613,7.7636,0
3/3/2016,7.7723,7.7777,7.7674,7.7682,0
3/2/2016,7.7708,7.7767,7.7705,7.7725,0
3/1/2016,7.7769,7.7785,7.769,7.7715,0
2/29/2016,7.7744,7.7785,7.7716,7.7773,0
2/26/2016,7.7719,7.7751,7.7665,7.775,0
